MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,LIVE
7,FAIL
8,FAIL
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,FAIL
19,LIVE
20,FAIL
21,FAIL
22,FAIL
23,FAIL
24,FAIL
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,FAIL
30,FAIL
31,FAIL
32,FAIL
33,LIVE
34,LIVE
35,FAIL
36,LIVE
37,FAIL
38,FAIL
39,FAIL
40,FAIL
41,FAIL
42,LIVE
43,FAIL
44,FAIL
45,LIVE
46,FAIL
47,FAIL
48,FAIL
49,FAIL
50,FAIL
51,LIVE
52,FAIL
53,LIVE
54,FAIL
55,FAIL
56,LIVE
57,LIVE
58,FAIL
59,FAIL
60,LIVE
61,FAIL
62,LIVE
63,LIVE
64,LIVE
65,LIVE
66,FAIL
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,FAIL
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,FAIL
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,FAIL
88,FAIL
89,FAIL
90,FAIL
91,FAIL
92,FAIL
93,LIVE
94,FAIL
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,LIVE
100,FAIL
101,FAIL
102,LIVE
103,LIVE
104,FAIL
105,FAIL
106,LIVE
107,FAIL
108,FAIL
109,LIVE
110,FAIL
111,LIVE
112,LIVE
113,FAIL
114,FAIL
115,LIVE
116,FAIL
117,LIVE
118,LIVE
119,FAIL
120,LIVE
121,LIVE
122,LIVE
123,FAIL
124,FAIL
125,FAIL
126,LIVE
127,LIVE
128,FAIL
129,LIVE
130,LIVE
131,FAIL
132,FAIL
133,LIVE
134,FAIL
135,LIVE
136,LIVE
137,LIVE
138,LIVE
139,LIVE
140,LIVE
141,FAIL
142,FAIL
143,FAIL
144,LIVE
145,LIVE
146,LIVE
147,FAIL
148,LIVE
149,LIVE
150,FAIL
151,LIVE
152,LIVE
153,LIVE
154,FAIL
155,FAIL
156,FAIL
157,FAIL
158,LIVE
159,LIVE
160,LIVE
161,FAIL
162,LIVE
163,FAIL
164,FAIL
165,FAIL
166,LIVE
167,FAIL
168,LIVE
169,FAIL
170,FAIL
171,FAIL
172,FAIL
