MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,FAIL
19,LIVE
20,FAIL
21,FAIL
22,FAIL
23,FAIL
24,FAIL
25,FAIL
26,LIVE
27,FAIL
28,LIVE
29,LIVE
30,LIVE
31,LIVE
32,LIVE
33,LIVE
34,FAIL
35,FAIL
36,LIVE
37,FAIL
38,FAIL
39,FAIL
40,FAIL
41,FAIL
42,FAIL
43,LIVE
44,FAIL
45,LIVE
46,LIVE
47,LIVE
48,LIVE
49,LIVE
50,LIVE
51,LIVE
52,LIVE
53,LIVE
54,LIVE
55,LIVE
56,LIVE
57,LIVE
58,LIVE
59,LIVE
60,LIVE
61,LIVE
62,FAIL
63,FAIL
64,FAIL
65,FAIL
66,FAIL
67,FAIL
68,FAIL
69,LIVE
70,FAIL
71,FAIL
72,FAIL
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,LIVE
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,FAIL
88,FAIL
89,FAIL
90,FAIL
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,FAIL
101,FAIL
102,FAIL
103,FAIL
104,FAIL
105,FAIL
106,FAIL
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,FAIL
112,FAIL
113,LIVE
114,FAIL
115,FAIL
116,FAIL
117,FAIL
118,FAIL
119,FAIL
120,FAIL
121,FAIL
122,FAIL
123,FAIL
124,FAIL
125,FAIL
126,FAIL
127,FAIL
128,FAIL
129,FAIL
130,FAIL
131,FAIL
132,FAIL
133,FAIL
134,FAIL
135,FAIL
136,FAIL
137,FAIL
138,FAIL
139,FAIL
140,FAIL
141,FAIL
142,FAIL
143,FAIL
144,FAIL
145,FAIL
146,FAIL
147,FAIL
148,FAIL
149,FAIL
150,FAIL
151,FAIL
152,FAIL
153,FAIL
154,FAIL
155,FAIL
156,FAIL
157,FAIL
158,FAIL
159,FAIL
160,LIVE
161,FAIL
162,LIVE
163,LIVE
164,LIVE
165,LIVE
166,LIVE
167,FAIL
168,LIVE
169,FAIL
170,LIVE
171,FAIL
172,LIVE
