MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,FAIL
6,LIVE
7,FAIL
8,FAIL
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,FAIL
17,LIVE
18,LIVE
19,FAIL
20,LIVE
21,FAIL
22,LIVE
23,FAIL
24,FAIL
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,LIVE
30,FAIL
31,FAIL
32,LIVE
33,FAIL
34,LIVE
35,FAIL
36,LIVE
37,LIVE
38,LIVE
39,LIVE
40,FAIL
41,FAIL
42,FAIL
43,LIVE
44,LIVE
45,FAIL
46,FAIL
47,FAIL
48,FAIL
49,FAIL
50,FAIL
51,LIVE
52,FAIL
53,FAIL
54,FAIL
55,FAIL
56,LIVE
57,FAIL
58,FAIL
59,FAIL
60,FAIL
61,FAIL
62,FAIL
63,FAIL
64,LIVE
65,FAIL
66,FAIL
67,LIVE
68,LIVE
69,FAIL
70,FAIL
71,FAIL
72,LIVE
73,FAIL
74,FAIL
75,FAIL
76,FAIL
77,FAIL
78,FAIL
79,LIVE
80,FAIL
81,FAIL
82,FAIL
83,LIVE
84,FAIL
85,LIVE
86,FAIL
87,FAIL
88,FAIL
89,FAIL
90,FAIL
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,LIVE
101,LIVE
102,FAIL
103,LIVE
104,LIVE
105,FAIL
106,FAIL
107,FAIL
108,LIVE
109,FAIL
110,FAIL
111,LIVE
112,FAIL
113,LIVE
114,FAIL
115,LIVE
116,FAIL
117,FAIL
118,FAIL
119,LIVE
120,FAIL
121,FAIL
122,FAIL
123,LIVE
124,LIVE
125,LIVE
126,FAIL
127,FAIL
128,FAIL
129,LIVE
130,FAIL
131,LIVE
132,FAIL
133,FAIL
134,LIVE
135,FAIL
136,FAIL
137,FAIL
138,LIVE
139,LIVE
140,FAIL
141,FAIL
142,FAIL
143,FAIL
144,FAIL
145,FAIL
146,FAIL
147,LIVE
148,FAIL
149,FAIL
150,FAIL
151,FAIL
152,FAIL
153,FAIL
154,FAIL
155,FAIL
156,FAIL
157,FAIL
158,FAIL
159,FAIL
160,FAIL
161,LIVE
162,FAIL
163,FAIL
164,FAIL
165,LIVE
166,FAIL
167,FAIL
168,FAIL
169,LIVE
170,FAIL
171,FAIL
172,FAIL
