MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,FAIL
4,FAIL
5,LIVE
6,FAIL
7,FAIL
8,FAIL
9,FAIL
10,FAIL
11,FAIL
12,FAIL
13,FAIL
14,FAIL
15,FAIL
16,FAIL
17,FAIL
18,FAIL
19,FAIL
20,FAIL
21,LIVE
22,FAIL
23,FAIL
24,FAIL
25,FAIL
26,FAIL
27,FAIL
28,FAIL
29,FAIL
30,LIVE
31,FAIL
32,FAIL
33,FAIL
34,FAIL
35,FAIL
36,FAIL
37,LIVE
38,FAIL
39,FAIL
40,FAIL
41,FAIL
42,FAIL
43,FAIL
44,FAIL
45,FAIL
46,LIVE
47,FAIL
48,LIVE
49,FAIL
50,LIVE
51,FAIL
52,FAIL
53,FAIL
54,FAIL
55,FAIL
56,FAIL
57,LIVE
58,FAIL
59,LIVE
60,FAIL
61,FAIL
62,FAIL
63,LIVE
64,FAIL
65,FAIL
66,FAIL
67,FAIL
68,FAIL
69,LIVE
70,FAIL
71,FAIL
72,FAIL
73,FAIL
74,LIVE
75,FAIL
76,FAIL
77,LIVE
78,FAIL
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,LIVE
85,FAIL
86,FAIL
87,FAIL
88,FAIL
89,FAIL
90,FAIL
91,LIVE
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,FAIL
101,FAIL
102,FAIL
103,FAIL
104,FAIL
105,FAIL
106,FAIL
107,FAIL
108,FAIL
109,FAIL
110,FAIL
111,FAIL
112,FAIL
113,FAIL
114,LIVE
115,FAIL
116,LIVE
117,LIVE
118,LIVE
119,LIVE
120,FAIL
121,FAIL
122,LIVE
123,FAIL
124,FAIL
125,LIVE
126,FAIL
127,FAIL
128,FAIL
129,LIVE
130,FAIL
131,LIVE
132,FAIL
133,FAIL
134,LIVE
135,FAIL
136,LIVE
137,FAIL
138,LIVE
139,FAIL
140,FAIL
141,FAIL
142,FAIL
143,FAIL
144,FAIL
145,FAIL
146,FAIL
147,FAIL
148,LIVE
149,FAIL
150,FAIL
151,FAIL
152,FAIL
153,FAIL
154,FAIL
155,FAIL
156,FAIL
157,FAIL
158,FAIL
159,FAIL
160,FAIL
161,FAIL
162,FAIL
163,FAIL
164,FAIL
165,FAIL
166,FAIL
167,FAIL
168,FAIL
169,FAIL
170,FAIL
171,FAIL
172,FAIL
